opponent,weight,games,wins,losses,draws,errors,win_rate,avg_turns,status,contribution,elapsed_s
kiyotah_iono,0.04,1,0,1,0,0,0.0,188.0,FAIL,0.0,0.0
TOTAL,1.0,1,0,1,0,0,0.0,,FAIL,0.0,0.0
