captured_at,static_rank,team_name,team_id,submission_id,leaderboard_score,episodes,wins,losses,draws,win_rate,win_rate_wilson_lcb95,sample_sufficiency_to_500,selection_score_65_lcb_35_volume,window_censored,archetype,deck_sha256,strict_500_eligible,strict_win_rate_order,mandatory_lumen,meets_200_episode_floor,selected_roster_order,package_name,sample_episode_id
2026-07-22T21:15:27.634743+00:00,26,Kotaro OKUYAMA,16379968,54834313,1073.1,460,270,190,0,0.5869565217391305,0.5414216880056643,0.92,0.6739240972036817,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,True,5,rank_026_marnies_grimmsnarl_ex_bc,87534506
2026-07-22T21:15:27.634743+00:00,27,SQUIRTLE (prime),16407282,54875820,1071.2,284,162,121,1,0.5704225352112676,0.514054844675357,0.568,0.532935649038982,False,Marnie's Grimmsnarl ex / Froslass,e2e03fe8ef9592b1204c159a7725da3945675fa872b1e18baca550560503a78e,False,,False,True,18,rank_027_marnies_grimmsnarl_ex_bc,87534514
2026-07-22T21:15:27.634743+00:00,28,haggle,16441077,54886942,1069.4,120,80,40,0,0.6666666666666666,0.5783110162063498,0.24,0.45990216053412736,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_028_marnies_grimmsnarl_ex_bc,87535038
2026-07-22T21:15:27.634743+00:00,29,aaa,16378476,54896274,1063.4,105,60,45,0,0.5714285714285714,0.47590324947511736,0.21,0.3828371121588263,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_029_alakazam_bc,87534691
2026-07-22T21:15:27.634743+00:00,30,Team Rot-Weiß,16499803,54911612,1063.3,14,10,4,0,0.7142857142857143,0.4535091567010681,0.028,0.3045809518556943,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_030_alakazam_bc,87533768
2026-07-22T21:15:27.634743+00:00,31,Pushu?,16389043,54910145,1060.7,52,34,18,0,0.6538461538461539,0.5180355424727014,0.104,0.37312310260725595,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_031_alakazam_bc,87535086
2026-07-22T21:15:27.634743+00:00,32,vvhan,16425569,54875468,1060.7,114,62,52,0,0.543859649122807,0.45249119322970244,0.228,0.3739192755993066,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_032_alakazam_bc,87529832
2026-07-22T21:15:27.634743+00:00,33,msd0110,16401021,54899938,1059.1,89,55,34,0,0.6179775280898876,0.5141411986237105,0.178,0.3964917791054119,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_033_alakazam_bc,87534524
2026-07-22T21:15:27.634743+00:00,34,Vadim Vasilenko,16531877,54791976,1057.5,323,176,147,0,0.544891640866873,0.49037409000377136,0.646,0.5448431585024514,False,Festival Lead / Dipplin,79e43c0a0b83e17a0b5264163000f8b656749d1878141864a863fb34818a1422,False,,False,True,16,rank_034_festival_lead_dipplin_bc,87534515
2026-07-22T21:15:27.634743+00:00,35,NoOne,16417358,54857797,1055.3,222,123,99,0,0.5540540540540541,0.48829997885493015,0.444,0.4727949862557046,False,Alakazam / Dudunsparce,f1776ee333fe625be829c895cbea25cf1673250f957e40d6c0b1bd58541cb8e6,False,,False,True,,rank_035_alakazam_bc,87534518
