opponent,game,candidate_player,outcome,steps,error,first_player
agent_marnie_prize_control_v4_3121746f_20260728,15,1,loss,190,,0
agent_marnie_prize_control_v4_3121746f_20260728,16,0,loss,197,,0
agent_marnie_prize_control_v4_3121746f_20260728,17,1,win,149,,0
agent_marnie_prize_control_v4_3121746f_20260728,18,0,loss,190,,0
agent_marnie_prize_control_v4_3121746f_20260728,19,1,loss,183,,0
agent_yushin_idonly_bc_v1_20260723,0,0,win,194,,0
agent_yushin_idonly_bc_v1_20260723,1,1,loss,127,,0
agent_yushin_idonly_bc_v1_20260723,2,0,loss,178,,0
agent_yushin_idonly_bc_v1_20260723,3,1,win,238,,0
agent_yushin_idonly_bc_v1_20260723,4,0,loss,160,,0
agent_yushin_idonly_bc_v1_20260723,5,1,win,202,,0
agent_yushin_idonly_bc_v1_20260723,6,0,win,189,,0
agent_yushin_idonly_bc_v1_20260723,7,1,win,207,,0
agent_yushin_idonly_bc_v1_20260723,8,0,loss,166,,0
agent_yushin_idonly_bc_v1_20260723,9,1,loss,198,,0
agent_yushin_idonly_bc_v1_20260723,10,0,loss,166,,0
agent_yushin_idonly_bc_v1_20260723,11,1,win,171,,0
agent_yushin_idonly_bc_v1_20260723,12,0,win,120,,0
agent_yushin_idonly_bc_v1_20260723,13,1,loss,145,,0
agent_yushin_idonly_bc_v1_20260723,14,0,win,201,,0
agent_yushin_idonly_bc_v1_20260723,15,1,win,185,,0
agent_yushin_idonly_bc_v1_20260723,16,0,loss,179,,0
agent_yushin_idonly_bc_v1_20260723,17,1,loss,174,,0
agent_yushin_idonly_bc_v1_20260723,18,0,win,144,,0
agent_yushin_idonly_bc_v1_20260723,19,1,loss,136,,0
dragapult_large_data_decoder_2layer,0,0,win,199,,0
dragapult_large_data_decoder_2layer,1,1,loss,209,,0
dragapult_large_data_decoder_2layer,2,0,win,237,,0
dragapult_large_data_decoder_2layer,3,1,win,125,,0
dragapult_large_data_decoder_2layer,4,0,win,198,,0
dragapult_large_data_decoder_2layer,5,1,win,157,,0
dragapult_large_data_decoder_2layer,6,0,win,149,,0
dragapult_large_data_decoder_2layer,7,1,loss,168,,0
dragapult_large_data_decoder_2layer,8,0,win,206,,0
dragapult_large_data_decoder_2layer,9,1,loss,66,,0
dragapult_large_data_decoder_2layer,10,0,win,206,,0
dragapult_large_data_decoder_2layer,11,1,win,200,,0
dragapult_large_data_decoder_2layer,12,0,win,199,,0
dragapult_large_data_decoder_2layer,13,1,win,200,,0
dragapult_large_data_decoder_2layer,14,0,win,270,,0
dragapult_large_data_decoder_2layer,15,1,loss,222,,0
dragapult_large_data_decoder_2layer,16,0,win,159,,0
dragapult_large_data_decoder_2layer,17,1,win,238,,0
dragapult_large_data_decoder_2layer,18,0,win,218,,0
dragapult_large_data_decoder_2layer,19,1,win,162,,0
