opponent,weight,games,wins,losses,draws,errors,win_rate,avg_turns,status,contribution,elapsed_s
kiyotah_iono,0.04,1,1,0,0,0,1.0,72.0,PASS,0.04,0.0
TOTAL,1.0,1,1,0,0,0,1.0,,PASS,1.0,0.0
